"NEIGHBORHOOD_NAME","NEIGHBORHOOD_ID"
"kreuzberg",66
"friedrichshain",67
"prenzlauer berg",68
"alt-hohenschönhausen",69
"moabit",70
"schöneberg",71
"charlottenburg",72
"wedding",73
"mitte",74
"neukölln",75
"pankow",76
"wilmersdorf",77
"alt-treptow",78
"steglitz",79
"potsdamer platz",80
"schmargendorf",81
"reinickendorf",82
"karlshorst",83
"köpenick",84
"westend",85
"altglienicke",86
"halensee",87
"lichterfelde",88
"zehlendorf",89
"tempelhof",90
"mariendorf",91
"lichtenberg",92
"wittenau",93
"friedrichsfelde",94
"marzahn",95
"bohnsdorf",96
"biesdorf",97
"grunewald",98
"fennpfuhl",99
"kaulsdorf",100
"mahlsdorf",101
"hermsdorf",102
"hansaviertel",103
"tiergarten",104
"friedrichshagen",105
"nikolassee",106
"schmöckwitz",107
"rudow",108
"weißensee",109
"baumschulenweg",110
"rahnsdorf",111
"britz",112
"friedenau",113
"rummelsburg",114
"johannisthal",115
"siemensstadt",116
"wannsee",117
"charlottenburg-nord",118
"plänterwald",119
"gropiusstadt",120
"oberschöneweide",121
"buch",122
"französisch buchholz",123
"lankwitz",124
"niederschönhausen",125
"niederschöneweide",126
"hellersdorf",127
"wilhelmstadt",128
"dahlem",129
"gatow",130
"karow",131
"lichtenrade",132
"neu-hohenschönhausen",133
"kladow",134
"märkisches viertel",135
"marienfelde",136
"grünau",137
"falkenhagener feld",138
"heinersdorf",139
"tegel",140
"spandau",141
"waidmannslust",142
"blankenburg",143
"staaken",144
"heiligensee",145
"buckow",146
"frohnau",147
"wilhelmsruh",148
"falkenberg",149
"adlershof",150
"konradshöhe",151
"hakenfelde",152
"müggelheim",153
"haselhorst",154
"lübars",155
"rosenthal",156
"el raval",235
"jerónimos",236
"delicias",237
